cluster	gene
ADHD	COL2A1
ADHD	CRISPLD2
ADHD	CRYGC
ADHD	CRYGD
ADHD	CS
ADHD	CSNK1G2
ADHD	CSNK1G2-AS1
ADHD	CSRNP3
ADHD	CSRP2
ADHD	CSTF1
ADHD	CTNNA2
ADHD	CTNND1
ADHD	CUBN
ADHD	CUX2
ADHD	CWF19L1
ADHD	CYHR1
ADHD	DAG1
ADHD	DAGLA
ADHD	DCC
ADHD	DCLK2
ADHD	DDX5
ADHD	DEK
ADHD	DFNA5
ADHD	DHX38
ADHD	DIS3L
ADHD	DKFZP434K028
ADHD	DLG2
ADHD	DMRTA1
ADHD	DNAH6
ADHD	DNAJC5B
ADHD	DOCK4
ADHD	DPH2
ADHD	DPYD
ADHD	DPYD-AS1
ADHD	DUSP6
ADHD	EBNA1BP2
ADHD	EFCAB4A
ADHD	EFHD1
ADHD	EFNB2
ADHD	ELF1
ADHD	ELFN1
ADHD	ELOVL1
ADHD	EMCN
ADHD	EMCN-IT3
ADHD	EPS8L2
ADHD	ERICH1
ADHD	ERICH1-AS1
ADHD	ESR1
ADHD	FAM109A
ADHD	FAM110D
ADHD	FAM117B
ADHD	FAM13A
ADHD	FAM160A1
ADHD	FAM175B
ADHD	FAM184A
ADHD	FAM186B
ADHD	FAM210B
ADHD	FAM212A
ADHD	FAM86JP
ADHD	FBXL17
ADHD	FCRL5
ADHD	FHIT
ADHD	FIBCD1
ADHD	FMN2
ADHD	FMNL3
ADHD	FNBP4
ADHD	FOLH1
ADHD	FOXF2
ADHD	FOXH1
ADHD	FOXP1
ADHD	FOXP2
ADHD	FRAS1
ADHD	FTSJD2
ADHD	FXYD6
ADHD	FXYD6-FXYD2
ADHD	GABBR2
ADHD	GABRR2
ADHD	GGNBP1
ADHD	GIGYF2
ADHD	GINM1
ADHD	GKAP1
ADHD	GMPPB
ADHD	GNAI2
ADHD	GNAT1
ADHD	GPM6A
ADHD	GPR12
ADHD	GPR125
ADHD	GPR158
ADHD	GPT
ADHD	GRIA1
ADHD	GRID2
ADHD	GRM4
ADHD	HAPLN4
ADHD	HECTD4
ADHD	HECW2
ADHD	HELZ
ADHD	HFE
ADHD	HIST1H1E
ADHD	HIST1H1T
ADHD	HIST1H2AC
ADHD	HIST1H2BC
ADHD	HIST1H2BD
ADHD	HIST1H4C
ADHD	HIVEP2
ADHD	HMGA2
ADHD	HNMT
ADHD	HNRNPK
ADHD	HOMER1
ADHD	HPGD
ADHD	HPR
ADHD	HRH4
ADHD	HTR1B
ADHD	HTR3A
ADHD	HTR3B
ADHD	HYI
ADHD	ICA1L
ADHD	ICOS
ADHD	ID4
ADHD	IDNK
ADHD	IFT80
ADHD	IGF1R
ADHD	IL19
ADHD	IL20
ADHD	IL23A
ADHD	IMPACT
ADHD	IP6K1
ADHD	IP6K3
ADHD	IPO13
ADHD	IQSEC1
ADHD	ITPR3
ADHD	JARID2
ADHD	JPH3
ADHD	KAT2B
ADHD	KATNA1
ADHD	KATNAL1
ADHD	KBTBD12
ADHD	KCNA6
ADHD	KCNH3
ADHD	KCNJ13
ADHD	KCNK16
ADHD	KCNK17
ADHD	KCNK2
ADHD	KCNMA1
ADHD	KDM1B
ADHD	KDM4A
ADHD	KDM4A-AS1
ADHD	KIF27
ADHD	KIF6
ADHD	KIFC2
ADHD	KLHDC7A
ADHD	KLHDC8B
ADHD	KLHL3
ADHD	KPNA4
ADHD	KRT1
ADHD	KRT3
ADHD	KRT4
ADHD	KRT76
ADHD	KRT77
ADHD	LAMB2
ADHD	LAMB2P1
ADHD	LATS1
ADHD	LDHD
ADHD	LDLRAD3
ADHD	LEMD2
ADHD	LINC00336
ADHD	LINC00426
ADHD	LINC00442
ADHD	LINC00461
ADHD	LINC00473
ADHD	LINC00626
ADHD	LINC00635
ADHD	LINC00693
ADHD	LINC00907
ADHD	LINC00917
ADHD	LINC00923
ADHD	LINC00927
ADHD	LINC00951
ADHD	LOC100128398
ADHD	LOC100132356
ADHD	LOC100287010
ADHD	LOC100505545
ADHD	LOC100505875
ADHD	LOC100505989
ADHD	LOC100506639
ADHD	LOC100507373
ADHD	LOC100507443
ADHD	LOC100652739
ADHD	LOC153684
ADHD	LOC284757
ADHD	LOC348761
ADHD	LOC440040
ADHD	LOC441601
ADHD	LOC646498
ADHD	LOC646813
ADHD	LOC648987
ADHD	LOC729852
ADHD	LPHN1
ADHD	LPHN3
ADHD	LRFN2
ADHD	LRP11
ADHD	LRRC14
ADHD	LRRC24
ADHD	LSM6
ADHD	LY96
ADHD	MAD1L1
ADHD	MAML3
ADHD	MAN1A1
ADHD	MANBA
ADHD	MAPKAPK5
ADHD	MAPKAPK5-AS1
ADHD	MBIP
ADHD	MCMBP
ADHD	MCRS1
ADHD	MDFIC
ADHD	MECOM
ADHD	MED19
ADHD	MED8
ADHD	MEF2C
ADHD	MEGF11
ADHD	MEIS2
ADHD	MET
ADHD	MFSD3
ADHD	MFSD6L
ADHD	MILR1
ADHD	MIR1275
ADHD	MIR1284
ADHD	MIR130A
ADHD	MIR15B
ADHD	MIR16-2
ADHD	MIR2113
ADHD	MIR3064
ADHD	MIR3156-1
ADHD	MIR3197
ADHD	MIR3664
ADHD	MIR3666
ADHD	MIR3976
ADHD	MIR4251
ADHD	MIR4276
ADHD	MIR4462
ADHD	MIR4655
ADHD	MIR5047
ADHD	MIR5193
ADHD	MIR548AV
ADHD	MIR548Q
ADHD	MIR597
ADHD	MIR634
ADHD	MIR7-1
ADHD	MIR9-2
ADHD	MLF1
ADHD	MLK7-AS1
ADHD	MLN
ADHD	MNF1
ADHD	MPL
ADHD	MPP6
ADHD	MRGPRD
ADHD	MRGPRE
ADHD	MRGPRF
ADHD	MRGPRG
ADHD	MRGPRG-AS1
ADHD	MROH8
ADHD	MST1
ADHD	MYH11
ADHD	MYH13
ADHD	MYO5A
ADHD	MYRF
ADHD	NAA11
ADHD	NAF1
ADHD	NBEAL1
ADHD	NCAN
ADHD	NCOA5
ADHD	NCOR2
ADHD	NDE1
ADHD	NDNF
ADHD	NFIL3
ADHD	NFKB1
ADHD	NGEF
ADHD	NKX2-3
ADHD	NKX2-4
ADHD	NPAS3
ADHD	NS3BP
ADHD	NSFL1C
ADHD	NUP160
ADHD	NUP43
ADHD	OR10AG1
ADHD	OR5AC2
ADHD	OR5AS1
ADHD	OR5F1
ADHD	OR5H1
ADHD	OR5H14
ADHD	OR5M9
ADHD	OR5R1
ADHD	OR7E5P
ADHD	OR8H2
ADHD	OR8H3
ADHD	OR8I2
ADHD	OR8J1
ADHD	OR8K1
ADHD	OR8U8
ADHD	OSBPL5
ADHD	OTOL1
ADHD	OXCT1
ADHD	OXTR
ADHD	PACSIN1
ADHD	PAN2
ADHD	PARP4
ADHD	PCDH17
ADHD	PCDH7
ADHD	PCLO
ADHD	PCMT1
ADHD	PDDC1
ADHD	PDE11A
ADHD	PDE4B
ADHD	PDGFRA
ADHD	PDIA6
ADHD	PDIK1L
ADHD	PEAK1
ADHD	PENK
ADHD	PER3
ADHD	PET112
ADHD	PIDD
ADHD	PIK3R6
ADHD	PKD2L1
ADHD	PKP4
ADHD	PLAC4
ADHD	PLCL2
ADHD	PLEKHM3
ADHD	PLK1S1
ADHD	PLXDC2
ADHD	PMFBP1
ADHD	PNPLA2
ADHD	POC1B
ADHD	POLG2
ADHD	POLR2L
ADHD	PPIL4
ADHD	PPM1A
ADHD	PPP1R16A
ADHD	PPP2R2B
ADHD	PRDM16
ADHD	PREX1
ADHD	PRKACA
ADHD	PRKCA
ADHD	PRKG1
ADHD	PRPF40B
ADHD	PSMD1
ADHD	PTH2R
ADHD	PTK2
ADHD	PTPN11
ADHD	PTPRF
ADHD	PTPRT
ADHD	QARS
ADHD	QRFP
ADHD	RAB38
ADHD	RBL1
ADHD	RBM33
ADHD	RECQL4
ADHD	RGS9
ADHD	RMI1
ADHD	RNF123
ADHD	RNF219-AS1
ADHD	ROBO2
ADHD	ROPN1B
ADHD	RP1L1
ADHD	RPA1
ADHD	RPA3
ADHD	RPLP2
ADHD	RPN2
ADHD	RPS18P9
ADHD	RRAGD
ADHD	RRAS2
ADHD	RSRC1
ADHD	RSU1P2
ADHD	RUNX1T1
ADHD	SACM1L
ADHD	SCAMP4
ADHD	SCARNA7
ADHD	SCN2A
ADHD	SDK1
ADHD	SEC23IP
ADHD	SEC61B
ADHD	SEMA3F
ADHD	SEMA6D
ADHD	SERPINF1
ADHD	SERPINF2
ADHD	SGOL1
ADHD	SGOL1-AS1
ADHD	SH2B3
ADHD	SHANK2
ADHD	SHANK2-AS3
ADHD	SHISA9
ADHD	SHOX2
ADHD	SIRPB1
ADHD	SIRPB2
ADHD	SIRPD
ADHD	SIX6
ADHD	SLC10A7
ADHD	SLC25A21
ADHD	SLC25A22
ADHD	SLC38A3
ADHD	SLC41A3
ADHD	SLC6A20
ADHD	SLC9A9
ADHD	SLC9A9-AS1
ADHD	SLC9B1
ADHD	SLC9B2
ADHD	SMAP1
ADHD	SMC4
ADHD	SMURF2
ADHD	SMYD4
ADHD	SNF8
ADHD	SNORA52
ADHD	SNRK
ADHD	SNW1
ADHD	SORCS3
ADHD	SP3
ADHD	SPATA3
ADHD	SPDEF
ADHD	SPDYE4
ADHD	SPON1
ADHD	SSR4P1
ADHD	SSUH2
ADHD	ST3GAL3
ADHD	STAT2
ADHD	STK17B
ADHD	SUGP1
ADHD	SYBU
ADHD	SYNGAP1
ADHD	SZT2
ADHD	TACC2
ADHD	TALDO1
ADHD	TANK
ADHD	TBC1D14
ADHD	TCEB1
ADHD	TCF12
ADHD	TDRG1
ADHD	TDRP
ADHD	TEPP
ADHD	TEX26
ADHD	TEX29
ADHD	TFAP2B
ADHD	TIE1
ADHD	TM6SF2
ADHD	TMBIM6
ADHD	TMEM106C
ADHD	TMEM125
ADHD	TMEM161B
ADHD	TMEM161B-AS1
ADHD	TMEM18
ADHD	TMEM200C
ADHD	TMEM212
ADHD	TMEM70
ADHD	TMPRSS13
ADHD	TMX2-CTNND1
